node	group	median	range	taxa	members
1	Amniota	312	297 - 326	67	Amazona_oratrix, Anas_acuta, Aotus_trivirgatus, Apodemus_gurkha, Ateles_paniscus, Bos_taurus, Bubalus_bubalis, Callithrix_jacchus, Canis_lupus, Cavia_porcellus, Cervus_elaphus, Chelonia_mydas, Chlorocebus_aethiops, Colobus_guereza, Columba_livia, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Elephas_maximus, Eptesicus_fuscus, Equus_caballus, Erythrocebus_patas, Falco_mexicanus, Felis_catus, Gallus_gallus, Gorilla_gorilla, Homo_sapiens, Loxodonta_africana, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Macropus_parma, Mandrillus_leucophaeus, Mandrillus_sphinx, Meleagris_gallopavo, Meles_meles, Miniopterus_fuliginosus, Miniopterus_schreibersii, Mus_musculus, Myodes_glareolus, Myotis_ricketti, Myotis_velifer, Oligoryzomys_microtis, Oryctolagus_cuniculus, Ovis_aries, Pan_troglodytes, Papio_cynocephalus, Phascolarctos_cinereus, Phoca_groenlandica, Pongo_pygmaeus, Psittacula_krameri, Pteropus_capistratus, Rangifer_tarandus, Rattus_norvegicus, Rattus_rattus, Rhinolophus_ferrumequinum, Saimiri_boliviensis, Spheniscus_demersus, Sus_bucculentus, Testudo_hermanni, Tupaia_splendidula, Tursiops_truncatus, Tylonycteris_robustula, Vombatus_ursinus, Zalophus_californianus
2	Archelosauria	254	240 - 268	10	Amazona_oratrix, Anas_acuta, Chelonia_mydas, Columba_livia, Falco_mexicanus, Gallus_gallus, Meleagris_gallopavo, Psittacula_krameri, Spheniscus_demersus, Testudo_hermanni
3	Neognathae	98	92 - 104	8	Amazona_oratrix, Anas_acuta, Columba_livia, Falco_mexicanus, Gallus_gallus, Meleagris_gallopavo, Psittacula_krameri, Spheniscus_demersus
4	Galloanserae	80	74 - 86	3	Anas_acuta, Gallus_gallus, Meleagris_gallopavo
5	unknown	37	28 - 39	2	Gallus_gallus, Meleagris_gallopavo
6	unknown	83	77 - 90	5	Amazona_oratrix, Columba_livia, Falco_mexicanus, Psittacula_krameri, Spheniscus_demersus
7	unknown	38	30 - 50	2	Amazona_oratrix, Psittacula_krameri
8	unknown	82	71 - 91	3	Columba_livia, Falco_mexicanus, Spheniscus_demersus
9	unknown	81	72 - 88	2	Falco_mexicanus, Spheniscus_demersus
10	Durocryptodira	101	78 - 124	2	Chelonia_mydas, Testudo_hermanni
11	Theria	159	150 - 167	57	Aotus_trivirgatus, Apodemus_gurkha, Ateles_paniscus, Bos_taurus, Bubalus_bubalis, Callithrix_jacchus, Canis_lupus, Cavia_porcellus, Cervus_elaphus, Chlorocebus_aethiops, Colobus_guereza, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Elephas_maximus, Eptesicus_fuscus, Equus_caballus, Erythrocebus_patas, Felis_catus, Gorilla_gorilla, Homo_sapiens, Loxodonta_africana, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Macropus_parma, Mandrillus_leucophaeus, Mandrillus_sphinx, Meles_meles, Miniopterus_fuliginosus, Miniopterus_schreibersii, Mus_musculus, Myodes_glareolus, Myotis_ricketti, Myotis_velifer, Oligoryzomys_microtis, Oryctolagus_cuniculus, Ovis_aries, Pan_troglodytes, Papio_cynocephalus, Phascolarctos_cinereus, Phoca_groenlandica, Pongo_pygmaeus, Pteropus_capistratus, Rangifer_tarandus, Rattus_norvegicus, Rattus_rattus, Rhinolophus_ferrumequinum, Saimiri_boliviensis, Sus_bucculentus, Tupaia_splendidula, Tursiops_truncatus, Tylonycteris_robustula, Vombatus_ursinus, Zalophus_californianus
12	Diprotodontia	49	45 - 53	3	Macropus_parma, Phascolarctos_cinereus, Vombatus_ursinus
13	unknown	35	31 - 40	2	Phascolarctos_cinereus, Vombatus_ursinus
14	Eutheria	105	100 - 111	54	Aotus_trivirgatus, Apodemus_gurkha, Ateles_paniscus, Bos_taurus, Bubalus_bubalis, Callithrix_jacchus, Canis_lupus, Cavia_porcellus, Cervus_elaphus, Chlorocebus_aethiops, Colobus_guereza, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Elephas_maximus, Eptesicus_fuscus, Equus_caballus, Erythrocebus_patas, Felis_catus, Gorilla_gorilla, Homo_sapiens, Loxodonta_africana, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Meles_meles, Miniopterus_fuliginosus, Miniopterus_schreibersii, Mus_musculus, Myodes_glareolus, Myotis_ricketti, Myotis_velifer, Oligoryzomys_microtis, Oryctolagus_cuniculus, Ovis_aries, Pan_troglodytes, Papio_cynocephalus, Phoca_groenlandica, Pongo_pygmaeus, Pteropus_capistratus, Rangifer_tarandus, Rattus_norvegicus, Rattus_rattus, Rhinolophus_ferrumequinum, Saimiri_boliviensis, Sus_bucculentus, Tupaia_splendidula, Tursiops_truncatus, Tylonycteris_robustula, Zalophus_californianus
15	Boreoeutheria	96	91 - 102	52	Aotus_trivirgatus, Apodemus_gurkha, Ateles_paniscus, Bos_taurus, Bubalus_bubalis, Callithrix_jacchus, Canis_lupus, Cavia_porcellus, Cervus_elaphus, Chlorocebus_aethiops, Colobus_guereza, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Eptesicus_fuscus, Equus_caballus, Erythrocebus_patas, Felis_catus, Gorilla_gorilla, Homo_sapiens, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Meles_meles, Miniopterus_fuliginosus, Miniopterus_schreibersii, Mus_musculus, Myodes_glareolus, Myotis_ricketti, Myotis_velifer, Oligoryzomys_microtis, Oryctolagus_cuniculus, Ovis_aries, Pan_troglodytes, Papio_cynocephalus, Phoca_groenlandica, Pongo_pygmaeus, Pteropus_capistratus, Rangifer_tarandus, Rattus_norvegicus, Rattus_rattus, Rhinolophus_ferrumequinum, Saimiri_boliviensis, Sus_bucculentus, Tupaia_splendidula, Tursiops_truncatus, Tylonycteris_robustula, Zalophus_californianus
16	unknown	79	73 - 84	24	Bos_taurus, Bubalus_bubalis, Canis_lupus, Cervus_elaphus, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Eptesicus_fuscus, Equus_caballus, Felis_catus, Meles_meles, Miniopterus_fuliginosus, Miniopterus_schreibersii, Myotis_ricketti, Myotis_velifer, Ovis_aries, Phoca_groenlandica, Pteropus_capistratus, Rangifer_tarandus, Rhinolophus_ferrumequinum, Sus_bucculentus, Tursiops_truncatus, Tylonycteris_robustula, Zalophus_californianus
17	unknown	78	74 - 81	16	Bos_taurus, Bubalus_bubalis, Canis_lupus, Cervus_elaphus, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Equus_caballus, Felis_catus, Meles_meles, Ovis_aries, Phoca_groenlandica, Rangifer_tarandus, Sus_bucculentus, Tursiops_truncatus, Zalophus_californianus
18	unknown	77	72 - 82	6	Canis_lupus, Equus_caballus, Felis_catus, Meles_meles, Phoca_groenlandica, Zalophus_californianus
19	Carnivora	54	52 - 57	5	Canis_lupus, Felis_catus, Meles_meles, Phoca_groenlandica, Zalophus_californianus
20	Caniformia	46	42 - 49	4	Canis_lupus, Meles_meles, Phoca_groenlandica, Zalophus_californianus
21	unknown	40	37 - 42	3	Meles_meles, Phoca_groenlandica, Zalophus_californianus
22	unknown	26	23.1 - 28.9	2	Phoca_groenlandica, Zalophus_californianus
23	unknown	62	58 - 66	10	Bos_taurus, Bubalus_bubalis, Cervus_elaphus, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Ovis_aries, Rangifer_tarandus, Sus_bucculentus, Tursiops_truncatus
24	unknown	56	53 - 59	9	Bos_taurus, Bubalus_bubalis, Cervus_elaphus, Connochaetes_taurinus, Damaliscus_lunatus, Delphinapterus_leucas, Ovis_aries, Rangifer_tarandus, Tursiops_truncatus
25	unknown	18.4	16.4 - 20.4	2	Delphinapterus_leucas, Tursiops_truncatus
26	Pecora	27.3	23.1 - 31.5	7	Bos_taurus, Bubalus_bubalis, Cervus_elaphus, Connochaetes_taurinus, Damaliscus_lunatus, Ovis_aries, Rangifer_tarandus
27	Bovidae	24.6	21.4 - 29.5	5	Bos_taurus, Bubalus_bubalis, Connochaetes_taurinus, Damaliscus_lunatus, Ovis_aries
28	unknown	12.3	7.1 - 17.4	2	Bos_taurus, Bubalus_bubalis
29	unknown	13.8	11.5 - 16.2	3	Connochaetes_taurinus, Damaliscus_lunatus, Ovis_aries
30	unknown	8.8	7.1 - 17.4	2	Connochaetes_taurinus, Damaliscus_lunatus
31	Cervidae	13.6	9.8 - 17.3	2	Cervus_elaphus, Rangifer_tarandus
32	Chiroptera	62	59 - 64	8	Eptesicus_fuscus, Miniopterus_fuliginosus, Miniopterus_schreibersii, Myotis_ricketti, Myotis_velifer, Pteropus_capistratus, Rhinolophus_ferrumequinum, Tylonycteris_robustula
33	Microchiroptera	58	56 - 61	2	Pteropus_capistratus, Rhinolophus_ferrumequinum
34	unknown	45	41 - 48	6	Eptesicus_fuscus, Miniopterus_fuliginosus, Miniopterus_schreibersii, Myotis_ricketti, Myotis_velifer, Tylonycteris_robustula
35	unknown	31	27 - 36	4	Eptesicus_fuscus, Myotis_ricketti, Myotis_velifer, Tylonycteris_robustula
36	unknown	28.2	20.1 - 31.6	2	Eptesicus_fuscus, Tylonycteris_robustula
37	unknown	18.1	9.3 - 27.0	2	Myotis_ricketti, Myotis_velifer
38	unknown	17.2	12.3 - 24.5	2	Miniopterus_fuliginosus, Miniopterus_schreibersii
39	Euarchontoglires	90	85 - 94	28	Aotus_trivirgatus, Apodemus_gurkha, Ateles_paniscus, Callithrix_jacchus, Cavia_porcellus, Chlorocebus_aethiops, Colobus_guereza, Erythrocebus_patas, Gorilla_gorilla, Homo_sapiens, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Mus_musculus, Myodes_glareolus, Oligoryzomys_microtis, Oryctolagus_cuniculus, Pan_troglodytes, Papio_cynocephalus, Pongo_pygmaeus, Rattus_norvegicus, Rattus_rattus, Saimiri_boliviensis, Tupaia_splendidula
40	Glires	82	76 - 88	8	Apodemus_gurkha, Cavia_porcellus, Mus_musculus, Myodes_glareolus, Oligoryzomys_microtis, Oryctolagus_cuniculus, Rattus_norvegicus, Rattus_rattus
41	Rodentia	73	67 - 79	7	Apodemus_gurkha, Cavia_porcellus, Mus_musculus, Myodes_glareolus, Oligoryzomys_microtis, Rattus_norvegicus, Rattus_rattus
42	unknown	33	28 - 37	6	Apodemus_gurkha, Mus_musculus, Myodes_glareolus, Oligoryzomys_microtis, Rattus_norvegicus, Rattus_rattus
43	unknown	20.9	18.3 - 23.4	4	Apodemus_gurkha, Mus_musculus, Rattus_norvegicus, Rattus_rattus
44	unknown	6.5	3.5 - 9.7	2	Rattus_norvegicus, Rattus_rattus
45	unknown	14.5	9.0 - 19.9	2	Apodemus_gurkha, Mus_musculus
46	unknown	28.8	17.9 - 30.1	2	Myodes_glareolus, Oligoryzomys_microtis
47	unknown	82	76 - 89	20	Aotus_trivirgatus, Ateles_paniscus, Callithrix_jacchus, Chlorocebus_aethiops, Colobus_guereza, Erythrocebus_patas, Gorilla_gorilla, Homo_sapiens, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Pan_troglodytes, Papio_cynocephalus, Pongo_pygmaeus, Saimiri_boliviensis, Tupaia_splendidula
48	Simiiformes	43	41 - 46	19	Aotus_trivirgatus, Ateles_paniscus, Callithrix_jacchus, Chlorocebus_aethiops, Colobus_guereza, Erythrocebus_patas, Gorilla_gorilla, Homo_sapiens, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Pan_troglodytes, Papio_cynocephalus, Pongo_pygmaeus, Saimiri_boliviensis
49	unknown	20.7	18.7 - 22.6	4	Aotus_trivirgatus, Ateles_paniscus, Callithrix_jacchus, Saimiri_boliviensis
50	unknown	19.7	17.7 - 21.7	3	Aotus_trivirgatus, Callithrix_jacchus, Saimiri_boliviensis
51	Cebidae	18.4	15.5 - 21.3	2	Aotus_trivirgatus, Callithrix_jacchus
52	Catarrhini	29.4	27.6 - 31.3	15	Chlorocebus_aethiops, Colobus_guereza, Erythrocebus_patas, Gorilla_gorilla, Homo_sapiens, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Pan_troglodytes, Papio_cynocephalus, Pongo_pygmaeus
53	Cercopithecidae	19.4	16.2 - 22.6	11	Chlorocebus_aethiops, Colobus_guereza, Erythrocebus_patas, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Papio_cynocephalus
54	Cercopithecinae	13.7	10.4 - 17.1	10	Chlorocebus_aethiops, Erythrocebus_patas, Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Papio_cynocephalus
55	unknown	12.4	9.0 - 14.9	8	Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina, Mandrillus_leucophaeus, Mandrillus_sphinx, Papio_cynocephalus
56	unknown	12.4	3.5 - 22.2	3	Mandrillus_leucophaeus, Mandrillus_sphinx, Papio_cynocephalus
57	Mandrillus	2.03	0.49 - 3.57	2	Mandrillus_leucophaeus, Mandrillus_sphinx
58	unknown	5.3	3.6 - 7.0	5	Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta, Macaca_nemestrina
59	unknown	4.53	3.00 - 6.05	4	Macaca_arctoides, Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta
60	unknown	3.69	2.51 - 4.87	3	Macaca_fascicularis, Macaca_fuscata, Macaca_mulatta
61	unknown	2.37	0.95 - 3.79	2	Macaca_fuscata, Macaca_mulatta
62	unknown	5.9	4.1 - 7.7	2	Chlorocebus_aethiops, Erythrocebus_patas
63	Hominidae	15.8	14.7 - 16.8	4	Gorilla_gorilla, Homo_sapiens, Pan_troglodytes, Pongo_pygmaeus
64	Homininae	9.1	8.4 - 9.7	3	Gorilla_gorilla, Homo_sapiens, Pan_troglodytes
65	unknown	6.65	6.23 - 7.07	2	Homo_sapiens, Pan_troglodytes
66	Elephantidae	17.1	9.4 - 22.6	2	Elephas_maximus, Loxodonta_africana
